Year,Crop Production,Animal Production and Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping",Support Activities for Agriculture and Forestry,Oil and Gas Extraction,Mining (except Oil and Gas),Support Activities for Mining,Utilities,Construction of Buildings,Heavy and Civil Engineering Construction,Specialty Trade Contractors,Food Manufacturing,Beverage and Tobacco Product Manufacturing,Textile Mills,Textile Product Mills,Apparel Manufacturing,Leather and Allied Product Manufacturing,Wood Product Manufacturing,Paper Manufacturing,Printing and Related Support Activities,Petroleum and Coal Products Manufacturing,Chemical Manufacturing,Plastics and Rubber Products Manufacturing,Nonmetallic Mineral Product Manufacturing,Primary Metal Manufacturing,Fabricated Metal Product Manufacturing,Machinery Manufacturing,Computer and Electronic Product Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",Transportation Equipment Manufacturing,Furniture and Related Product Manufacturing,Miscellaneous Manufacturing,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",Wholesale Electronic Markets and Agents and Brokers,Motor Vehicle and Parts Dealers,Furniture and Home Furnishings Stores,Electronics and Appliance Stores,Building Material and Garden Equipment and Supplies Dealers,Food and Beverage Stores,Health and Personal Care Stores,Gasoline Stations,Clothing and Clothing Accessories Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",General Merchandise Stores,Miscellaneous Store Retailers,Nonstore Retailers,Air Transportation,Rail Transportation,Water Transportation,Truck Transportation,Transit and Ground Passenger Transportation,Pipeline Transportation,Scenic and Sightseeing Transportation,Support Activities for Transportation,Postal Service,Couriers and Messengers,Warehousing and Storage,Publishing Industries (except Internet),Motion Picture and Sound Recording Industries,Broadcasting (except Internet),Telecommunications,"Data Processing, Hosting, and Related Services",Other Information Services,Monetary Authorities-Central Bank,Credit Intermediation and Related Activities,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Insurance Carriers and Related Activities,"Funds, Trusts, and Other Financial Vehicles",Real Estate,Rental and Leasing Services,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support Services,Waste Management and Remediation Services,Educational Services,Ambulatory Health Care Services,Hospitals,Nursing and Residential Care Facilities,Social Assistance,"Performing Arts, Spectator Sports, and Related Industries","Museums, Historical Sites, and Similar Institutions","Amusement, Gambling, and Recreation Industries",Accommodation,Food Services and Drinking Places,Repair and Maintenance,Personal and Laundry Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Private Households,"Executive, Legislative, and Other General Government Support","Justice, Public Order, and Safety Activities",Administration of Human Resource Programs,Administration of Environmental Quality Programs,"Administration of Housing Programs, Urban Planning, and Community Development",Administration of Economic Programs,Space Research and Technology,National Security and International Affairs,Crop Production Flags,Animal Production and Aquaculture Flags,Forestry and Logging Flags,"Fishing, Hunting and Trapping Flags",Support Activities for Agriculture and Forestry Flags,Oil and Gas Extraction Flags,Mining (except Oil and Gas) Flags,Support Activities for Mining Flags,Utilities Flags,Construction of Buildings Flags,Heavy and Civil Engineering Construction Flags,Specialty Trade Contractors Flags,Food Manufacturing Flags,Beverage and Tobacco Product Manufacturing Flags,Textile Mills Flags,Textile Product Mills Flags,Apparel Manufacturing Flags,Leather and Allied Product Manufacturing Flags,Wood Product Manufacturing Flags,Paper Manufacturing Flags,Printing and Related Support Activities Flags,Petroleum and Coal Products Manufacturing Flags,Chemical Manufacturing Flags,Plastics and Rubber Products Manufacturing Flags,Nonmetallic Mineral Product Manufacturing Flags,Primary Metal Manufacturing Flags,Fabricated Metal Product Manufacturing Flags,Machinery Manufacturing Flags,Computer and Electronic Product Manufacturing Flags,"Electrical Equipment, Appliance, and Component Manufacturing Flags",Transportation Equipment Manufacturing Flags,Furniture and Related Product Manufacturing Flags,Miscellaneous Manufacturing Flags,"Merchant Wholesalers, Durable Goods Flags","Merchant Wholesalers, Nondurable Goods Flags",Wholesale Electronic Markets and Agents and Brokers Flags,Motor Vehicle and Parts Dealers Flags,Furniture and Home Furnishings Stores Flags,Electronics and Appliance Stores Flags,Building Material and Garden Equipment and Supplies Dealers Flags,Food and Beverage Stores Flags,Health and Personal Care Stores Flags,Gasoline Stations Flags,Clothing and Clothing Accessories Stores Flags,"Sporting Goods, Hobby, Musical Instrument, and Book Stores Flags",General Merchandise Stores Flags,Miscellaneous Store Retailers Flags,Nonstore Retailers Flags,Air Transportation Flags,Rail Transportation Flags,Water Transportation Flags,Truck Transportation Flags,Transit and Ground Passenger Transportation Flags,Pipeline Transportation Flags,Scenic and Sightseeing Transportation Flags,Support Activities for Transportation Flags,Postal Service Flags,Couriers and Messengers Flags,Warehousing and Storage Flags,Publishing Industries (except Internet) Flags,Motion Picture and Sound Recording Industries Flags,Broadcasting (except Internet) Flags,Telecommunications Flags,"Data Processing, Hosting, and Related Services Flags",Other Information Services Flags,Monetary Authorities-Central Bank Flags,Credit Intermediation and Related Activities Flags,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities Flags",Insurance Carriers and Related Activities Flags,"Funds, Trusts, and Other Financial Vehicles Flags",Real Estate Flags,Rental and Leasing Services Flags,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) Flags,"Professional, Scientific, and Technical Services Flags",Management of Companies and Enterprises Flags,Administrative and Support Services Flags,Waste Management and Remediation Services Flags,Educational Services Flags,Ambulatory Health Care Services Flags,Hospitals Flags,Nursing and Residential Care Facilities Flags,Social Assistance Flags,"Performing Arts, Spectator Sports, and Related Industries Flags","Museums, Historical Sites, and Similar Institutions Flags","Amusement, Gambling, and Recreation Industries Flags",Accommodation Flags,Food Services and Drinking Places Flags,Repair and Maintenance Flags,Personal and Laundry Services Flags,"Religious, Grantmaking, Civic, Professional, and Similar Organizations Flags",Private Households Flags,"Executive, Legislative, and Other General Government Support Flags","Justice, Public Order, and Safety Activities Flags",Administration of Human Resource Programs Flags,Administration of Environmental Quality Programs Flags,"Administration of Housing Programs, Urban Planning, and Community Development Flags",Administration of Economic Programs Flags,Space Research and Technology Flags,National Security and International Affairs Flags
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1
2001,3,15,0,1,7,0,8,0,50,169,72,526,60,17,0,5,13,1,11,8,2,5,72,2,4,-30,-11,-21,-56,13,14,-15,32,196,178,65,202,-34,7,101,-738,-112,-23,-240,-34,-307,-166,-4,-6,0,0,49,92,,1,60,,136,3,66,-44,21,106,62,17,2,532,185,264,-14,260,-13,5,850,136,812,50,850,798,263,214,651,129,-31,-30,-38,284,87,50,165,13,-96,-395,-128,-28,-9,-120,,-5,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,11,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2002,9,4,2,-1,13,0,5,0,42,131,41,463,58,9,8,4,21,-2,26,26,66,4,40,57,11,27,44,30,12,-6,23,17,60,220,235,35,285,148,53,239,-136,-368,-14,350,230,-121,84,32,28,,4,30,90,,4,115,,65,-26,66,-54,67,90,18,-13,0,441,278,233,24,228,-20,4,934,62,1010,22,1641,745,552,439,604,173,-22,276,219,80,47,157,144,20,-4,161,52,14,7,45,,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-2,10,10,10,11,10,10,11,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2003,13,5,4,0,12,0,11,4,23,164,60,608,89,12,6,15,18,6,13,30,29,6,36,35,17,-12,72,42,74,37,23,32,63,271,226,46,255,105,6,200,-476,362,-26,-4,261,288,-18,64,41,,8,53,83,,7,85,,230,66,59,80,89,58,50,102,0,541,244,259,41,308,13,3,981,141,1143,16,1286,721,741,736,514,56,46,140,122,695,130,286,148,21,175,688,231,49,19,193,,7,10,10,10,12,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-2,10,10,10,11,10,10,11,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2004,-2,-4,4,-2,2,0,6,2,36,178,48,517,21,23,5,14,27,1,38,34,96,7,37,31,35,27,97,83,103,36,58,27,78,269,273,65,198,111,374,200,-999,129,-34,276,-46,300,31,67,57,0,7,73,96,,1,92,,93,11,127,-86,60,100,17,-14,0,513,328,134,19,192,51,5,1020,225,1262,60,966,779,476,415,587,197,38,285,159,137,72,186,165,18,-123,190,57,12,4,44,,1,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,11,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2005,22,0,2,0,6,1,15,4,49,175,67,629,66,13,9,3,18,3,21,38,53,4,41,71,29,13,107,62,88,15,37,20,74,309,281,67,249,27,-183,140,-184,-414,-6,89,-201,-678,3,53,66,0,14,54,102,,7,132,,128,-3,103,-12,96,120,4,6,0,618,376,194,11,273,-23,5,1294,133,1421,54,1407,861,492,499,693,139,32,332,216,178,117,286,186,22,-14,198,54,13,7,38,,0,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,11,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2006,-3,13,2,-1,6,0,11,1,54,238,65,639,70,17,-3,8,17,0,19,12,48,8,38,36,17,18,92,73,113,28,42,36,69,300,260,73,90,92,555,219,-791,11,-30,-470,75,567,67,33,88,0,9,57,104,,16,120,,123,59,110,-46,88,83,63,-30,,582,405,191,11,281,27,6,1352,211,1235,44,1332,851,511,406,630,156,-3,202,65,176,67,289,204,20,-75,124,38,12,4,36,,1,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,11,12,10,10,10,10,10,10,10,11,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2007,15,13,-3,0,6,1,12,0,50,229,63,627,56,18,3,10,14,5,17,34,38,6,38,34,30,11,90,65,75,17,57,38,60,306,288,68,320,88,246,60,-910,-9,2,-126,416,270,75,53,61,,9,39,149,,4,89,1,289,11,92,-37,82,140,34,5,,526,467,168,20,269,-6,1,1379,188,1272,42,1360,876,679,516,655,183,66,260,248,264,75,159,203,17,-8,232,80,16,6,53,,1,10,10,10,12,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,12,12,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2008,29,9,0,0,1,1,5,10,85,84,76,308,56,14,3,-3,15,3,5,14,-1,3,44,4,30,5,35,35,56,1,11,6,27,161,149,35,-75,-95,129,57,-100,449,-53,-255,-7,527,-19,33,107,,8,32,94,,8,37,-1,-1,68,98,31,72,96,24,-3,1,382,263,130,19,261,14,2,1021,130,772,38,1032,942,698,527,761,194,17,165,81,-213,48,246,178,19,-54,141,40,11,6,29,,1,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,12,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2009,7,5,5,-1,9,-2,1,-4,21,23,58,153,59,18,3,1,2,-1,2,9,-2,6,27,3,5,-12,-29,-16,-7,2,-13,-11,38,92,163,33,186,133,-25,75,-554,-23,48,44,-67,265,90,40,14,,3,29,80,,6,-7,0,-19,10,20,-34,43,79,12,8,1,189,180,83,11,138,6,2,674,114,780,27,1255,982,395,472,614,110,13,233,66,126,107,189,190,19,-36,132,33,1,2,25,,0,10,10,10,12,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2010,15,-1,1,-1,9,0,5,0,16,118,73,347,84,17,9,7,26,3,12,22,29,2,43,54,23,22,86,90,69,17,43,31,54,236,266,63,258,93,188,130,230,399,49,1050,70,777,89,34,57,0,8,44,72,,8,83,,95,59,65,-14,54,36,19,-19,0,361,276,114,14,218,23,2,1013,220,1421,52,1425,915,528,530,700,130,26,311,222,823,91,281,199,23,-157,110,28,2,1,27,,1,10,10,10,12,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,11,10,10,11,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2011,17,10,-1,0,-1,3,6,3,11,154,64,435,87,24,5,8,25,2,33,26,22,6,40,35,20,25,111,81,77,17,33,20,46,262,218,63,292,107,123,160,-489,166,5,327,97,464,147,44,44,,4,52,84,,11,76,,85,12,76,68,59,52,20,22,,423,253,133,15,209,46,4,1090,204,1331,60,471,905,547,417,542,163,43,405,229,1276,78,251,199,33,-80,104,34,5,4,32,,0,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,11,10,10,10,10,10,10,10,10,11,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2012,12,14,1,1,2,0,4,0,36,164,48,432,137,25,4,5,20,0,23,38,24,5,25,29,24,14,94,54,29,24,19,20,46,205,272,39,229,89,202,161,741,467,80,86,216,270,83,50,48,,2,86,85,,10,84,,290,78,52,51,56,51,51,11,,288,266,136,17,254,74,4,1119,249,1333,32,721,900,501,479,710,172,42,206,186,1096,73,334,207,22,-8,194,49,11,6,42,,1,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,11,10,10,10,10,10,10,10,10,11,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2013,36,25,3,-1,-2,0,9,1,28,169,52,537,91,22,10,-2,24,3,25,32,35,5,45,34,26,15,99,38,51,16,48,24,59,234,249,51,238,88,147,257,194,409,66,440,192,508,219,89,45,0,6,55,108,,8,80,,273,57,75,89,83,52,33,67,1,278,282,159,6,247,91,2,1290,257,1499,27,1748,1012,438,511,750,168,38,411,311,1531,118,347,201,31,-9,151,49,10,3,33,,0,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,11,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2014,28,10,-1,0,14,,8,1,50,196,64,602,108,27,9,2,22,1,20,15,22,4,36,33,21,21,81,62,75,26,32,19,46,215,267,48,320,30,205,143,-61,270,-1,68,256,327,135,72,59,,7,81,102,,20,87,0,291,61,70,74,112,69,33,38,,331,315,150,-1,259,86,2,1262,215,1369,53,1098,1090,638,567,959,145,74,361,158,855,97,320,279,28,31,199,51,9,7,42,,0,10,10,10,12,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,12,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2015,15,13,4,0,5,0,10,0,55,199,88,689,134,35,3,10,24,3,30,22,32,6,39,40,27,15,84,38,67,19,23,11,48,246,276,71,338,76,211,155,-387,302,25,120,79,131,39,105,75,,11,56,106,,7,112,0,-52,50,78,103,66,35,34,86,2,320,316,167,6,272,99,7,1482,215,1439,54,1581,1132,676,573,1054,226,41,334,247,791,109,346,299,40,12,271,68,13,6,55,,1,10,10,12,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,-2,12
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1