city,pd,all_people_killed_by_police_2013-2017,black_men_killed_by_police_2013-2017,black_men_killed_by_police_2016-2017,black_male_population_2015,average_police_homicide_rate_for_black_men
Reno,Reno Police Department,10,3,2,3556,18.7
Fremont,Fremont Police Department,6,2,1,3494,12.7
Santa Ana,Santa Ana Police Department,13,1,1,1779,12.5
Scottsdale,Scottsdale Police Department,6,1,0,2178,10.2
Oklahoma City,Oklahoma City Police Department,35,16,4,42192,8.4
Hialeah,Hialeah Police Department,3,1,0,2715,8.2
Spokane,Spokane Police Department,9,1,0,2932,7.6
St. Louis,St. Louis Metropolitan Police Department,28,23,9,69439,7.4
Albuquerque,Albuquerque Police Department,19,3,0,9944,6.7
Glendale,Glendale Police Department,7,2,1,6845,6.5
Anaheim,Anaheim Police Department,9,1,0,4021,5.5
Stockton,Stockton Police Department,17,4,3,16219,5.5
Madison,Madison Police Department,6,2,0,8339,5.3
Riverside,Riverside Police Department,6,2,0,9145,4.9
Orlando,Orlando Police Department,15,7,1,32609,4.8
Fort Wayne,Fort Wayne Police Department,8,4,0,18668,4.8
St. Paul,St. Paul Police Department,11,4,2,22298,4
Columbus,Columbus Division of Police,24,19,1,106487,4
Long Beach,Long Beach Police Department,21,5,1,28435,3.9
Lincoln,Lincoln Police Department,2,1,1,6770,3.3
Las Vegas,Las Vegas Metropolitan Police Department,36,5,2,34344,3.2
El Paso,El Paso Police Department,11,2,1,13912,3.2
San Antonio,San Antonio Police Department,31,7,2,"48,934",3.2
Tucson,Tucson Police Department,19,2,1,"14,785",3
Phoenix,Phoenix Police Department,70,7,4,"52,194",3
Seattle,Seattle Police Department,18,3,2,"25,403",2.6
Irving,Irving Police Department,6,2,2,"13,197",3.4
Kansas City Missouri,Kansas City Police Department,17,9,4,"62,560",3.2
Omaha,Omaha Police Department,15,4,1,"26,951",3.3
Los Angeles,Los Angeles Police Department,93,22,6,"165,839",2.9
Chicago,Chicago Police Department,66,46,15,"384,976",2.7
Nationwide Average,Nationwide Average,,1366,442,"19,056,501",2
National Murder Rate (FBI UCR 2015),National Murder Rate (FBI UCR 2015),,,,,4.9
Data from 1/1/13 - 6/30/17,,,,,,